"scientific_name","state","presentation","landings_code","conversion_factor","country","iso3c","iso2c","continent_affiliation","implementation","note","reference","n_CF"
"Hippoglossus hippoglossus","Frozen","gutted and headed","Frozen, gutted and headed",1.39,"Germany","DEU","DE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hippoglossus hippoglossus","Frozen","gutted and headed","Frozen, gutted and headed",1.44,"Portugal","PRT","PT","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hippoglossus hippoglossus","Frozen","gutted, headed, tail off","Frozen, gutted, headed, tail off",1.44,"Germany","DEU","DE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hippoglossus hippoglossus","Frozen","gutted, tail off","Frozen, gutted, tail off",1.17,"Germany","DEU","DE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hippoglossus hippoglossus","Frozen","whole","Frozen, whole",1,"EU","EU","EU","EU","EU-wide CF","","EU Council Regulations Annex",1
"Hippoglossus stenolepis","Fresh","gutted and headed","Fresh, gutted and headed",1.3,"Canada","CAN","CA","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Holocephali","Fresh","gutted","Fresh, gutted",1.21,"France","FRA","FR","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Homarus gammarus","Fresh","gutted","Fresh, gutted",1,"Germany","DEU","DE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Homarus gammarus","Fresh","gutted","Fresh, gutted",1.37,"Italy","ITA","IT","EU","national CF","1.040-1.700","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hoplostethus atlanticus","Fresh","filleted","Fresh, filleted",4.77,"Poland","POL","PL","EU","national CF","","EU Council Regulations Annex",1
"Hoplostethus atlanticus","Fresh","filleted, skinned","Fresh, filleted, skinned",4,"Australia","AUS","AU","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hoplostethus atlanticus","Fresh","filleted, skinned","Fresh, filleted, skinned",4.77,"Poland","POL","PL","EU","national CF","","EU Council Regulations Annex",1
"Hoplostethus atlanticus","Fresh","filleted, skinned, with pinbone on","Fresh, filleted, skinned, with pinbone on",4.77,"Poland","POL","PL","EU","national CF","","EU Council Regulations Annex",1
"Hoplostethus atlanticus","Fresh","filleted, with skin and bones on","Fresh, filleted, with skin and bones on",4.77,"Poland","POL","PL","EU","national CF","","EU Council Regulations Annex",1
"Hoplostethus atlanticus","Fresh","gutted","Fresh, gutted",1.1,"Australia","AUS","AU","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hoplostethus atlanticus","Fresh","gutted","Fresh, gutted",1.18,"Germany","DEU","DE","EU","national CF","","EU Council Regulations Annex",1
"Hoplostethus atlanticus","Fresh","gutted","Fresh, gutted",1.2,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hoplostethus atlanticus","Fresh","gutted","Fresh, gutted",1.2,"Poland","POL","PL","EU","national CF","","EU Council Regulations Annex",1
"Hoplostethus atlanticus","Fresh","gutted and headed","Fresh, gutted and headed",1.65,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hoplostethus atlanticus","Fresh","gutted and headed","Fresh, gutted and headed",1.65,"Poland","POL","PL","EU","national CF","","EU Council Regulations Annex",1
"Hoplostethus atlanticus","Fresh","gutted and headed","Fresh, gutted and headed",2,"Australia","AUS","AU","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hoplostethus atlanticus","Fresh","whole","Fresh, whole",1,"EU","EU","EU","EU","EU-wide CF","","EU Council Regulations Annex",1
"Hoplostethus atlanticus","Frozen","filleted, skinned","Frozen, filleted, skinned",4,"Australia","AUS","AU","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hoplostethus atlanticus","Frozen","filleted, skinned","Frozen, filleted, skinned",4,"New Zealand","NZL","NZ","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hoplostethus atlanticus","Frozen","gutted","Frozen, gutted",1.1,"Australia","AUS","AU","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hoplostethus atlanticus","Frozen","gutted","Frozen, gutted",1.1,"New Zealand","NZL","NZ","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hoplostethus atlanticus","Frozen","gutted","Frozen, gutted",1.2,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hoplostethus atlanticus","Frozen","gutted and headed","Frozen, gutted and headed",1.4,"Estonia","EST","EE","EU","national CF","","EU Council Regulations Annex",1
"Hoplostethus atlanticus","Frozen","gutted and headed","Frozen, gutted and headed",1.65,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hoplostethus atlanticus","Frozen","gutted and headed","Frozen, gutted and headed",1.92,"New Zealand","NZL","NZ","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hoplostethus atlanticus","Frozen","gutted and headed","Frozen, gutted and headed",1.92,"United Kingdom","GBR","GB","European, non-EU","national CF","","EU Council Regulations Annex",1
"Hoplostethus atlanticus","Frozen","gutted and headed","Frozen, gutted and headed",2,"Australia","AUS","AU","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hoplostethus atlanticus","Frozen","gutted, gilled","Frozen, gutted, gilled",1.1,"New Zealand","NZL","NZ","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hoplostethus atlanticus","Frozen","gutted, headed, tail off","Frozen, gutted, headed, tail off",2.2,"New Zealand","NZL","NZ","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hoplostethus atlanticus","Frozen","whole","Frozen, whole",1,"Estonia","EST","EE","EU","national CF","","EU Council Regulations Annex",1
"Hoplostethus atlanticus","Frozen","whole","Frozen, whole",1,"EU","EU","EU","EU","EU-wide CF","","EU Council Regulations Annex",1
"Hoplostethus atlanticus","Frozen","whole","Frozen, whole",1,"Spain","ESP","ES","EU","national CF","","EU Council Regulations Annex",1
"Hoplostethus atlanticus","Frozen","whole","Frozen, whole",1,"United Kingdom","GBR","GB","European, non-EU","national CF","","EU Council Regulations Annex",1
"Hyperoglyphe antarctica","Fresh","filleted, skinned","Fresh, filleted, skinned",2.5,"Australia","AUS","AU","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hyperoglyphe antarctica","Fresh","gutted","Fresh, gutted",1.1,"Australia","AUS","AU","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hyperoglyphe antarctica","Fresh","gutted and headed","Fresh, gutted and headed",1.5,"Australia","AUS","AU","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hyperoglyphe antarctica","Frozen","filleted, skinned","Frozen, filleted, skinned",3,"New Zealand","NZL","NZ","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hyperoglyphe antarctica","Frozen","gutted and headed","Frozen, gutted and headed",1.4,"New Zealand","NZL","NZ","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hyperoglyphe antarctica","Frozen","gutted, gilled","Frozen, gutted, gilled",1.1,"Australia","AUS","AU","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hyperoglyphe antarctica","Frozen","gutted, headed, tail off","Frozen, gutted, headed, tail off",1.4,"New Zealand","NZL","NZ","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Hypomesus spp","Fresh","gutted","Fresh, gutted",1.1,"France","FRA","FR","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Illex argentinus","Fresh","gutted","Fresh, gutted",1.7,"Poland","POL","PL","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Illex illecebrosus","Fresh","whole","Fresh, whole",1,"EU","EU","EU","EU","EU-wide CF","","EU Council Regulations Annex",1
"Illex illecebrosus","Frozen","whole","Frozen, whole",1,"EU","EU","EU","EU","EU-wide CF","","EU Council Regulations Annex",1
"Istiophoridae","Frozen","filleted, skinned","Frozen, filleted, skinned",1.65,"Ecuador","ECU","EC","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Istiophoridae","Frozen","gutted","Frozen, gutted",1.1,"Ecuador","ECU","EC","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Isurus oxyrinchus","Fresh","gutted","Fresh, gutted",1.15,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Isurus oxyrinchus","Fresh","gutted and headed","Fresh, gutted and headed",1.3,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Isurus paucus","Fresh","gutted","Fresh, gutted",1.15,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Isurus paucus","Fresh","gutted and headed","Fresh, gutted and headed",1.3,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Isurus paucus","Frozen","gutted and headed","Frozen, gutted and headed",1.3,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Jasus edwardsii","Frozen","tail only (squid)","Frozen, tail only (squid)",3,"New Zealand","NZL","NZ","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Kajikia albida","Fresh","gutted, tail off, finned","Fresh, gutted, tail off, finned",1.2,"Portugal","PRT","PT","EU","national CF","","EU Council Regulations Annex",1
"Kajikia albida","Fresh","whole","Fresh, whole",1,"EU","EU","EU","EU","EU-wide CF","","EU Council Regulations Annex",1
"Kajikia albida","Frozen","whole","Frozen, whole",1,"EU","EU","EU","EU","EU-wide CF","","EU Council Regulations Annex",1
"Kajikia albida","Frozen","whole","Frozen, whole",1,"Spain","ESP","ES","EU","national CF","","EU Council Regulations Annex",1
"Kathetostoma giganteum","Frozen","filleted, skinned","Frozen, filleted, skinned",2.3,"New Zealand","NZL","NZ","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Kathetostoma giganteum","Frozen","gutted","Frozen, gutted",1.1,"New Zealand","NZL","NZ","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Kathetostoma giganteum","Frozen","gutted and headed","Frozen, gutted and headed",1.8,"New Zealand","NZL","NZ","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Kathetostoma giganteum","Frozen","gutted, gilled","Frozen, gutted, gilled",1.1,"New Zealand","NZL","NZ","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Kathetostoma giganteum","Frozen","gutted, headed, tail off","Frozen, gutted, headed, tail off",2,"New Zealand","NZL","NZ","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Katsuwonus pelamis","Fresh","gutted","Fresh, gutted",1.1,"Mexico","MEX","MX","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Katsuwonus pelamis","Fresh","gutted","Fresh, gutted",1.11,"France","FRA","FR","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Katsuwonus pelamis","Fresh","headed","Fresh, headed",1.25,"Portugal","PRT","PT","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Katsuwonus pelamis","Frozen","gutted","Frozen, gutted",1.1,"Mexico","MEX","MX","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Katsuwonus pelamis","Frozen","gutted","Frozen, gutted",1.3,"Indonesia","IDN","ID","other","national CF","1.176,1.429","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Labridae","Fresh","gutted","Fresh, gutted",1.1,"France","FRA","FR","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Labridae","Fresh","gutted","Fresh, gutted",1.13,"UK","GBR","GB","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Labridae","Frozen","gutted","Frozen, gutted",1.13,"UK","GBR","GB","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lamna nasus","Fresh","gutted","Fresh, gutted",1.1,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lamna nasus","Fresh","gutted","Fresh, gutted",1.11,"Faroe Islands","FRO","FO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lamna nasus","Fresh","gutted","Fresh, gutted",1.12,"Portugal","PRT","PT","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lamna nasus","Fresh","gutted","Fresh, gutted",1.33,"Denmark","DNK","DK","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lamna nasus","Fresh","gutted","Fresh, gutted",1.33,"France","FRA","FR","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lamna nasus","Fresh","gutted","Fresh, gutted",1.33,"Germany","DEU","DE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lamna nasus","Fresh","gutted and headed","Fresh, gutted and headed",1.25,"Sweden","SWE","SE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lamna nasus","Fresh","gutted and headed","Fresh, gutted and headed",1.3,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lamna nasus","Fresh","gutted and headed","Fresh, gutted and headed",1.33,"Portugal","PRT","PT","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lamna nasus","Frozen","filleted","Frozen, filleted",2.59,"Germany","DEU","DE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lamna nasus","Frozen","gutted","Frozen, gutted",1.26,"Germany","DEU","DE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lamna nasus","Frozen","gutted","Frozen, gutted",1.26,"Portugal","PRT","PT","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lamna nasus","Frozen","gutted and headed","Frozen, gutted and headed",1.3,"Norway","NOR","NO","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lamna nasus","Frozen","gutted and headed","Frozen, gutted and headed",1.44,"Germany","DEU","DE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lates calcarifer","Fresh","filleted, skinned","Fresh, filleted, skinned",2.5,"Australia","AUS","AU","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lates calcarifer","Fresh","gutted","Fresh, gutted",1.1,"Australia","AUS","AU","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lates calcarifer","Fresh","gutted and headed","Fresh, gutted and headed",1.5,"Australia","AUS","AU","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Latridae","Frozen","filleted, skinned","Frozen, filleted, skinned",2.5,"New Zealand","NZL","NZ","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Latridae","Frozen","gutted","Frozen, gutted",1.1,"New Zealand","NZL","NZ","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Latridae","Frozen","gutted and headed","Frozen, gutted and headed",1.4,"New Zealand","NZL","NZ","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Latridae","Frozen","gutted, gilled","Frozen, gutted, gilled",1.1,"New Zealand","NZL","NZ","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Latridae","Frozen","gutted, headed, tail off","Frozen, gutted, headed, tail off",1.4,"New Zealand","NZL","NZ","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Leiognathidae","Fresh","gutted","Fresh, gutted",1.1,"Mexico","MEX","MX","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Leiognathidae","Fresh","gutted and headed","Fresh, gutted and headed",1.25,"Mexico","MEX","MX","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lepidonotothen squamifrons","Frozen","filleted","Frozen, filleted",3.57,"Poland","POL","PL","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lepidonotothen squamifrons","Frozen","filleted, skinned","Frozen, filleted, skinned",2.82,"Russian Federation","RUS","RU","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lepidonotothen squamifrons","Frozen","filleted, skinned","Frozen, filleted, skinned",4.54,"Poland","POL","PL","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lepidonotothen squamifrons","Frozen","gutted and headed","Frozen, gutted and headed",1.58,"Russian Federation","RUS","RU","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lepidonotothen squamifrons","Frozen","gutted, headed, tail off","Frozen, gutted, headed, tail off",1.78,"Russian Federation","RUS","RU","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lepidopus caudatus","Fresh","gutted","Fresh, gutted",1.14,"Germany","DEU","DE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lepidopus caudatus","Fresh","gutted, headed, tail off","Fresh, gutted, headed, tail off",1.8,"South Africa","ZAF","ZA","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lepidopus caudatus","Frozen","gutted, headed, tail off","Frozen, gutted, headed, tail off",1.8,"South Africa","ZAF","ZA","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lepidopus caudatus","Frozen","gutted, tail off","Frozen, gutted, tail off",1.4,"South Africa","ZAF","ZA","other","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lepidorhombus spp","Fresh","filleted","Fresh, filleted",2.5,"EU","EU","EU","EU","EU-wide CF","","EU Council Regulations Annex",1
"Lepidorhombus spp","Fresh","filleted, skinned","Fresh, filleted, skinned",2.5,"United Kingdom","GBR","GB","European, non-EU","national CF","","EU Council Regulations Annex",1
"Lepidorhombus spp","Fresh","gutted","Fresh, gutted",1.05,"Spain","ESP","ES","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lepidorhombus spp","Fresh","gutted","Fresh, gutted",1.06,"EU","EU","EU","EU","EU-wide CF","","EU Council Regulations Annex",1
"Lepidorhombus spp","Fresh","gutted","Fresh, gutted",1.11,"Germany","DEU","DE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lepidorhombus spp","Fresh","headed","Fresh, headed",1.5,"France","FRA","FR","EU","national CF","","EU Council Regulations Annex",1
"Lepidorhombus spp","Fresh","whole","Fresh, whole",1,"EU","EU","EU","EU","EU-wide CF","","EU Council Regulations Annex",1
"Lepidorhombus spp","Frozen","filleted","Frozen, filleted",2.5,"United Kingdom","GBR","GB","European, non-EU","national CF","","EU Council Regulations Annex",1
"Lepidorhombus spp","Frozen","filleted","Frozen, filleted",2.6,"France","FRA","FR","EU","national CF","","EU Council Regulations Annex",1
"Lepidorhombus spp","Frozen","filleted, skinned","Frozen, filleted, skinned",2.5,"United Kingdom","GBR","GB","European, non-EU","national CF","","EU Council Regulations Annex",1
"Lepidorhombus spp","Frozen","gutted","Frozen, gutted",1.05,"Spain","ESP","ES","EU","national CF","","EU Council Regulations Annex",1
"Lepidorhombus spp","Frozen","gutted","Frozen, gutted",1.05,"United Kingdom","GBR","GB","European, non-EU","national CF","","EU Council Regulations Annex",1
"Lepidorhombus spp","Frozen","gutted","Frozen, gutted",1.06,"EU","EU","EU","EU","EU-wide CF","","EU Council Regulations Annex",1
"Lepidorhombus spp","Frozen","whole","Frozen, whole",1,"EU","EU","EU","EU","EU-wide CF","","EU Council Regulations Annex",1
"Lepidorhombus spp","Frozen","whole","Frozen, whole",1,"Spain","ESP","ES","EU","national CF","","EU Council Regulations Annex",1
"Lepidorhombus spp","Frozen","whole","Frozen, whole",1,"United Kingdom","GBR","GB","European, non-EU","national CF","","EU Council Regulations Annex",1
"Lepidorhombus whiffiagonis","Fresh","filleted, skinned","Fresh, filleted, skinned",2.5,"UK","GBR","GB","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lepidorhombus whiffiagonis","Fresh","gutted","Fresh, gutted",1.04,"France","FRA","FR","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lepidorhombus whiffiagonis","Fresh","gutted","Fresh, gutted",1.05,"Belgium","BEL","BE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lepidorhombus whiffiagonis","Fresh","gutted","Fresh, gutted",1.05,"Ireland","IRL","IE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lepidorhombus whiffiagonis","Fresh","gutted","Fresh, gutted",1.05,"Spain","ESP","ES","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lepidorhombus whiffiagonis","Fresh","gutted","Fresh, gutted",1.05,"UK","GBR","GB","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lepidorhombus whiffiagonis","Fresh","gutted","Fresh, gutted",1.11,"Germany","DEU","DE","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lepidorhombus whiffiagonis","Fresh","gutted","Fresh, gutted",1.11,"Italy","ITA","IT","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lepidorhombus whiffiagonis","Fresh","gutted","Fresh, gutted",1.11,"Netherlands","NLD","NL","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lepidorhombus whiffiagonis","Fresh","gutted and headed","Fresh, gutted and headed",1.5,"France","FRA","FR","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lepidorhombus whiffiagonis","Frozen","gutted","Frozen, gutted",1.05,"UK","GBR","GB","European, non-EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lepidorhombus whiffiagonis","Frozen","gutted and headed","Frozen, gutted and headed",1.6,"Italy","ITA","IT","EU","national CF","Took the average of 1.5 and 1.7","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Lepidorhombus whiffiagonis","Frozen","headed","Frozen, headed",1.35,"Italy","ITA","IT","EU","national CF","Took the average of 1.3 and 1.4","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Leucoraja fullonica","Fresh","gutted","Fresh, gutted",1.21,"France","FRA","FR","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Leucoraja naevus","Fresh","gutted","Fresh, gutted",1.21,"France","FRA","FR","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Limanda ferruginea","Fresh","filleted","Fresh, filleted",1.36,"Spain","ESP","ES","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
"Limanda ferruginea","Fresh","filleted","Fresh, filleted",2.7,"United Kingdom","GBR","GB","European, non-EU","national CF","","EU Council Regulations Annex",1
"Limanda ferruginea","Fresh","filleted, skinned","Fresh, filleted, skinned",2.7,"United Kingdom","GBR","GB","European, non-EU","national CF","","EU Council Regulations Annex",1
"Limanda ferruginea","Fresh","gutted","Fresh, gutted",1.05,"Denmark","DNK","DK","EU","national CF","","EU Council Regulations Annex",1
"Limanda ferruginea","Fresh","gutted","Fresh, gutted",1.11,"France","FRA","FR","EU","national CF","","FAO 2000. Conversion Factors: Landed weight to live weight. Fisheries Circular no. 847 revision 1. ",1
