species,fishreg,unit,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
EZS,34,TLW,EU28	: 	5.43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EZS,37,TLW,ES	: 	6.63 	2.51 	0.12 	0.03 	: 	0.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EZS,37,TLW,EU27_2020	: 	23.63 p	29.31 	37.12 	36.93 	: 	0.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EZS,37,TLW,EU28	: 	23.63 p	29.31 	37.12 	36.93 	: 	0.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EZS,37,TLW,IT	7 p	17 p	26.8 	37 	36.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F00,0,TLW,BE	: 	22721.5 	24366.3 	26860 	24462.5 	26508.6 	25377.4 	24371.2 	22190.6 	21904 	21207.64 	22097.85 	24026.86 	22519.4 	24092 	26246.5 	26341.54 	28519.41 	29670.48 	29291.3 
F00,0,TLW,BG	10268.6267 	8544.091 	8506.8 e	8562.442 	8746.6 	8564.9 	9534.543 	8153.25 	8956.31 	9681 	7391.07 	7666.08 	7832.04 	5629.82 	3408.4 	5818.01 	10211.04 	13555.01 	4880.02 	6137.02 
F00,0,TLW,CY	: 	1469.953 	1736.413 	1481.8 	1475.25 	1248.6916 	1165.6 	1297.1707 	1162.9 	1399.91 	1391 	1991.6 	2205.4 	2097.86 	1849.5 	1522 	1741 	1908 	2245 	2230 
F00,0,TLW,DE	207225 	261218.673 	229405.8 p	240569.716 	251268.441 	216165.865 	219000.5 	205384.491 	217704.93 	214888.12 	195018.53 	207436.1 	226939.82 	276078.46 	264283 	239492.6 	238254 	201657 	188470 	182826 
F00,0,TLW,DK	: c	: c	904450 e	670212.83 	868890.1 	745019.28 	668338.23 	502631.63 	716231.59 	827972.59 	777701.84 	690580.51 	652971.81 	867802.77 	910573 	1090038.09 	1031072.05 	1441964.8 	1510408.67 	1533890.89 
F00,0,TLW,EE	83625.6623 d	83677.776 	79647.376 	72816.524 	70753.2954 	66103.393 	66763.4875 	63714.0422 	78631.852 	92415.844 	94524.71 	98202.84 	96782.27 	83939.87 	97111.1 	85534.53 	75493.03 	96867.23 	102533.01 	109969 
F00,0,TLW,EL	82232.46 p	: c	: c	: c	64431.321 	60318.83 	63638.21 	60725.53 	62847.36 	70089.14 	81821.36 	83821.1 	93639.15 	96694.55 	90445.22 	91134.01 	89632.28 	91891.23 	91015.4 	95910.71 
F00,0,TLW,ES	19786.084 	879961.324 	902162.69 	859744.9454 	901511.86 	1108830.4 	904125.82 	757827.64 	798558.55 	741675.1 	685552.89 	853372.9 	687125.75 	680738.88 	716778.05 	714548.12 	798435.94 	792964.64 	1041177.14 	986735.1 
F00,0,TLW,EU27_2020	: 	: c	: c	: c	4443772.7444 	4630703.7163 	4211398.5738 	3793349.9797 	4238087.2818 	4393614.484 	4223911.98 	4322387.33 	4300967.67 	4639177.25 	4830704.33 	5059532.33 	5076628.87 	5450833.69 	5911956.15 	5740004.24 
F00,0,TLW,EU28	: 	: c	: c	: c	5145541.863 	5382682.762 	4828990.303 	4420014.0447 	4832686.9818 	4998905.284 	4804323.76 	4910210.27 	4910173.43 	5253811.07 	5496088.43 	5711165.35 	5707385.03 	6135187.93 	6647561.38 	6483455.29 
F00,0,TLW,FI	: 	155163.361 	162016.73 e	164833.422 e	153394.494 	153487.755 	144297 	138068.87 	124827.45 	127220 	125315.17 	119355.46 	128163.22 	112932.88 	95467.17 	99154.93 	86305.44 	106731.87 	115191.48 	121641.43 
F00,0,TLW,FR	138834.483 p	587524.891 p	529340.152 	524828.255 	497435.05 	543525.28 	528731.84 	461196.38 	486847.7 	440013.9 	429549.95 	489716.39 	549144.36 	582846.36 	585643.5 	661200.46 	698690.34 	694287.67 	671029.29 	691941.96 
F00,0,TLW,HR	64019.9247 	70068.3 	69561.05 	72865.3443 	73487.6321 	79944.5442 	75267.231 	63599.02 	70534.02 	52396.9 	55364.5 	49011 	48633.71 	37830.1 	34649.6 	30135.1 	19938 	21210.5 	18464 	21051.2 
F00,0,TLW,IE	0 	: c	246759.52 e	230272.6223 	234772.0764 	276847.164 	246240.0835 	275916.799 	206177.329 	318764.66 	268994.27 	205131.93 	214844.59 	211403.18 	267089.1 	279657.74 	265624.59 	281536 	355511.01 	277100.15 
F00,0,TLW,IS	: 	1259169 p	1176538 p	1069488 e	1317156 e	1076883 e	1362887 e	1448544 e	1148993.689 e	1062586.19 	1164197.3 	1306360.6 	1420405.4 	1344342.62 	1660925.5 	1749350 	2002184 	2144461 	2000923.02 	1999804 
F00,0,TLW,IT	180736.5 p	201938.4 p	192202.6 	192602.6 	191633.7 	177018.6 	172906.5 	195996.2 	212729.6 	230020.6 	248013.32 	232206.09 	282698.81 	312047.05 	294076.02 	273982.02 	291324.8 	265610.1 	304875.7 	297589.9 
F00,0,TLW,LT	: 	63262.085 	72144.93 	105738.739 	72432.131 	148842.76 	74802.811 	70195.042 	137084.996 	138244.7 	150094.6 	157104.9 	149733 	153113 	138166 	160222 	155246.01 	149388 	148977 	77077 
F00,0,TLW,LV	: c	: c	: c	114654.78 	81304.53 	119293.15 	115759.26 	89501.11 	156130.15 	164488.4 	162884.6 	157585.6 	154962.1 	140061 	150262 	125031 	113980 	113096 	127595 	135791 
F00,0,TLW,MT	2229.732 	2544.971 	2223.05 	3556.089 	2535.677 	2402.551 	2354.9428 	2203.8588 	1919.86 	1835.66 	1587.45 	1282.07 	1244.21 	1348 	1336.01 	1067.04 	1138.04 	1074.03 	895.16 	1074.11 
F00,0,TLW,NL	19579.257 	411966.01 	361841.17 	368349.3 	364989.9 	375441.3 	324370 	345244 	364953 	375961 	340793 	375556 	366277 	434027 	547108 	519536 	524125 	461460 	515415.01 	493524 
F00,0,TLW,NO	3214.15 	2288408.6 	2221036.16 	1862478.16 	2146073.755 	2134963.889 	1943911.719 	2046923.6781 	2178091.631 	2561988.05 	2479603.01 	2366528.96 	2337433.06 	2246168.77 	2391707.3 	2523987.87 	2548527.76 	2739790.22 	2686540.19 	2698972.17 
F00,0,TLW,PL	0 	195621.719 	207139.47 	196927.5859 	187051.1325 	169574.3627 	195477.1454 	179694.4076 	175606.3773 	130421.66 	175024.48 	115527 	125345.15 	119882.71 	131443.1 	162812.28 	151502 	187775.7 	176963 	145879.01 
F00,0,TLW,PT	41542.41 	174897.698 	173600.62 	180691.076 	185217.033 	177231.0406 	194609.6386 	196552.9634 	213905.1375 	222565 	198639.11 	223845.66 	250783.27 	229015.5 	218929.52 	221197.35 	209481.44 	202225.17 	191993.46 	189157.13 
F00,0,TLW,RO	7149.373 	7745.01 	9553.18 e	7173.996 	4842.568 	2199.519 	1617.401 	810.7 	537.2 	230.9 	331.8 	443.6 	518 	615.2 	2026 	1831 	1612.01 	2122 	2431 	2476 
F00,0,TLW,SE	178136.8739 	214970.291 	221822.78 	197972.8651 	202946.2531 	171889.2 	176788.6 	150119.3 	179836.3 	210666.2 	201848.9 	229725.2 	236133.2 	267610.87 	254943 	268557.36 	285393.42 	293529.29 	310594.3 	337081.28 
F00,0,TLW,SI	120.3771 	121.5 	123.6 	146.1 	191.2 	246.53 	232.33 	323.54 	714.07 	759.2 	861.79 	727.45 	963.95 	942.79 	1025.04 	814.19 	1086.9 	1460.04 	1621.02 	1630.05 
F00,0,TLW,TR	431571.7 	283954.8 	322172.5 	301463.6 	397730.7 	266077.6 	339046.9 	396322 	477658.4 	891360 	849776 	462978 	599091 	488966 	380381 	504897 	463074 	522744.01 	484413 	460531 
F00,0,TLW,UK	4140.0085 	696991.872 	722725.243 	699841.7461 	701769.1186 	751979.0453 	617591.7292 	626486.9 	594599.7 	605290.8 	580411.78 	587822.94 	609205.76 	614633.82 	665384.1 	651633.02 	630756.16 	684354.24 	735605.23 	743451.05 
F00,21,TLW,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
F00,21,TLW,DE	1912 	1895 	1875.79 	1898.709 	1886.072 	2149.682 	2416.247 	1856.535 	2113.5 	1820.6 	1878.4 	3972 	1521.1 	1541.2 	1591 	1587 	3549 	2864 	1359 	4920 
F00,21,TLW,DK	: c	: c	2511 e	2921 	1686 	3409 	3391 	2999 	5146 	5130 	5072 	3804 	3389 	3631 	3696 	2754 	1006 	359 	93 	0 
F00,21,TLW,EE	5502.324 d	5558.434 	4744.267 	3283.101 	3585.73 	3387.026 	4532.801 	3444.235 	7146.072 	4328.674 	5978.5 	13086.4 	13332.3 	8404.65 	14690 	16259 	16000 	15016 	12233 	13697 
F00,21,TLW,ES	19786.084 	20519.994 	21265.35 	19640.7554 	23967.4 	26395.9 	35429.37 	35393.12 	28071.5 	26585.17 	15113.9 	18957.22 	13800.11 	21588.38 	22087.1 	19395 	35050 	34077 	40191 	44907 
F00,21,TLW,EU27_2020	: 	: c	: c	45963.1076 	48027.865 	54931.5067 	63844.545 	60628.6659 	60461.664 	56111.144 	45147.8 	55259.11 	50123 	55185.58 	64552.1 	68325 	95452 	84917 	80512 	85543 
F00,21,TLW,EU28	: 	: c	51163.847 e	47172.708 	48027.865 	54931.507 	65196.345 	61785.5309 	61545.564 	59716.844 	45764.4 	55562.12 	50123 	55185.58 	64552.1 	68325 	95999 	84917 	80512 	85543 
F00,21,TLW,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
F00,21,TLW,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
F00,21,TLW,IS	: 	: 	: 	: 	: 	: 	92 	: 	123.689 	184.8 	: 	: 	: 	4054 	6927.5 	7588 	7226 	6878 	5077 	9363 
F00,21,TLW,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
F00,21,TLW,LT	: 	: 	: 	0 	: 	7 	: 	753.13 	1011.996 	1542.4 	: 	1292.4 	3475 	2833 	5412 	8644 	11671 	10948 	7596 	4048 
F00,21,TLW,LV	: 	: 	: 	: 	: 	: 	: 	136.9 	587.1 	994.3 	1669.9 	1790 	2435 	2184 	2806 	3979 	4575 	2742 	3330 	3397 
F00,21,TLW,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
F00,21,TLW,NO	3214.15 	2545.31 	2762.07 	3210.43 	2953.975 	2842.365 	2874.379 	3160.444 	3179.271 	2779.2 	3045.1 	2767.15 	3479.3 	2346 	2450.3 	13135.06 	24794.02 	14370 	14527 	4424 
F00,21,TLW,PL	: 	: 	: 	: 	: 	413.328 	: 	: 	: 	: 	: 	: 	436.4 	1093.1 	1285 	2199 	921 	428 	761 	1732 
F00,21,TLW,PT	22736.46 	18343.3 	19611.05 	18219.542 	16902.663 	19169.5706 	18075.127 	16222.9109 	16385.496 	15710 	15435.1 	12357.09 	11734.09 	13910.25 	12985 	13508 	22680 	18483 	14949 	12842 
F00,21,TLW,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
F00,21,TLW,UK	: 	: 	1155.106 	1209.6 	: 	: 	1351.8 	979.7 	1083.9 	3605.7 	616.6 	303.01 	: 	: 	0 	0 	547 	0 	0 	0 
F00,27,TLW,BE	: 	22721.5 	24366.3 	26860 	24462.5 	26508.6 	25377.4 	24371.2 	22190.6 	21904 	21207.64 	22097.85 	24026.86 	22519.4 	24092 	26246.5 	26341.54 	28519.41 	29670.48 	29291.3 
F00,27,TLW,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
F00,27,TLW,DE	188953 	235741 	202573.31 p	217981.212 	231098.694 	205733.889 	216584.253 	188962.366 	180344.99 	192673 	193140.13 	203464.1 	212568.42 	259449.76 	262692 	235567 	234705 	193625 	184438 	177906 
F00,27,TLW,DK	: 	787072 	901939 	664127.6 	867204.1 	741610.28 	664947.23 	499632.63 	711085.59 	822842.59 	772629.84 	686776.51 	649582.81 	864171.77 	906877 	1087284.09 	1030066.05 	1441605.8 	1510315.67 	1533890.89 
F00,27,TLW,EE	78123.3383 	78119.342 	74903.109 	69533.423 	67167.5654 	62716.367 	62230.6865 	57063.6072 	69359.31 	86478.57 	88546.21 	85116.44 	83449.97 	74065.92 	81066 	68161.03 	59493.03 	81070.03 	88353.01 	96267 
F00,27,TLW,ES	: 	305325.57 	351119.59 	325555.13 	362345.5 	355808.05 	321901.5 	282175.72 	354774.46 	372996 	328978.32 	379727.19 	326361.78 	373231.9 	331131 	302603 	332541.46 	312388.08 	438200.36 	400415.08 
F00,27,TLW,EU27_2020	: 	: c	3299417.0027 ep	3029631.3971 e	3261932.5473 	3081478.2088 	2985444.6491 	2669322.0371 	2863675.2388 	3136388.38 	2985702.12 	3000147.73 	3128454.9 	3394645.7 	3455283.35 	3639163.8 	3537518.4 	3924210.12 	4216782.78 	4204270.53 
F00,27,TLW,EU28	: 	: c	4016968.175 ep	3725570.557 e	3959231.6138 	3829257.534 	3600950.0094 	3283288.8371 	3445787.6388 	3711452.88 	3549807.08 	3545016.59 	3722738.65 	3998372.11 	4114116.35 	4288698.32 	4162924.26 	4603300.76 	4945348.81 	4942220.58 
F00,27,TLW,FI	: 	155163.361 	162016.73 e	164833.422 e	153394.494 	153487.755 	144297 	138068.87 	124827.45 	127220 	125315.17 	119355.46 	128163.22 	112932.88 	95467.17 	99154.93 	86305.44 	106731.87 	115191.48 	121641.43 
F00,27,TLW,FR	: 	435432.474 p	400061.633 	416346.25 	382856.4 	426080.09 	431516.35 	374462.43 	388646.15 	334655.7 	320966.6 	365935.99 	419283.66 	423042 	407945 	465548.46 	485779.62 	496392.61 	493542.54 	489604.28 
F00,27,TLW,IE	: 	: c	246759.52 e	230272.6223 	234772.0764 	276847.164 	246240.0835 	275916.799 	205914.09 	285523.76 	256819.27 	203128.43 	214844.59 	211403.18 	234024.6 	245577.34 	232186.59 	241948 	281816.01 	277100.15 
F00,27,TLW,IS	: 	1259169 p	1176538 p	1069488 e	1317156 e	1076883 e	1362795 e	1448544 e	1148870 e	1062401.39 	1164197.3 	1306360.6 	1420405.4 	1340288.62 	1653998 	1741762 	1994958 	2137583 	1995846.02 	1990441 
F00,27,TLW,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
F00,27,TLW,LT	: 	31784.242 	28992.34 	30932.967 	28534.5 	46707.171 	14330.981 	20810.154 	22424 	19852.7 	39077.2 	35081.5 	46456 	34592 	17878 	20082 	27322.01 	32006 	31381 	19584 
F00,27,TLW,LV	: c	: c	69183.37 	66912.59 	67001.5 	61733.65 	62939.46 	59156.71 	65876.05 	76257.4 	79931.9 	87385.6 	90513 	83972 	93605 	82706 	71980 	79863 	76930 	80329 
F00,27,TLW,NL	: 	393272.291 	327311.97 	329101.5 	344764.2 	290306.2 	311731 	307781 	243940 	283382 	260636 	294667 	355424 	358127 	429242 	390823 	349017 	300317 	338493 	336329 
F00,27,TLW,NO	: 	2285863.29 	2218274.09 	1859267.73 	2143119.78 	2132121.524 	1941037.34 	2043763.2341 	2174912.36 	2559208.85 	2476557.91 	2363761.81 	2333953.76 	2243822.77 	2389257 	2510852.81 	2523733.74 	2725420.22 	2672013.19 	2693365.17 
F00,27,TLW,PL	: 	168547.835 	156644.7 	146219.4319 	141136.8345 	123902.1527 	141324.7154 	125906.2136 	115433.9073 	115817.46 	134003.68 	98999.3 	124908.75 	118789.61 	129353 	156491.08 	146113 	151563 	159161 	143177.01 
F00,27,TLW,PT	: 	135140.7707 	131722.65 	142982.384 	154247.93 	138147.64 	165235.3897 	164895.0373 	179022.3415 	186119 	162601.26 	188687.16 	216738.64 	190737.41 	186967.58 	190362.01 	170274.24 	164651.03 	158695.93 	161654.11 
F00,27,TLW,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
F00,27,TLW,SE	178136.8739 	214970.291 	221822.78 	197972.8651 	202946.2531 	171889.2 	176788.6 	150119.3 	179836.3 	210666.2 	201848.9 	229725.2 	236133.2 	267610.87 	254943 	268557.36 	285393.42 	293529.29 	310594.3 	337081.28 
F00,27,TLW,UK	: 	689851.302 	717551.172 	695939.1601 	697299.0665 	747779.3248 	615505.3603 	613966.8 	582112.4 	575064.5 	564104.96 	544868.86 	594283.75 	603726.41 	658833 	649534.52 	625405.86 	679090.64 	728566.03 	737950.05 
F00,34,TLW,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
F00,34,TLW,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 
F00,34,TLW,DE	16360 	23582.673 	24956.7 	20689.795 	18283.675 	8282.294 	: 	14565.59 	35246.44 	20394.52 	: 	: 	12850.3 	15087.5 	0 	2338.6 	0 	5168 	2673 	0 
F00,34,TLW,DK	: 	: 	: 	3164.23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F00,34,TLW,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	4 	6 	5 
F00,34,TLW,EL	: 	: c	: c	: c	686.89 	729.27 	905.16 	1135.47 	1089.6 	1271.45 	1773.06 	1963.84 	3295.15 	4279.57 	2547.72 	3203.2 	4563.53 	5984.18 	5972 	5144.01 
F00,34,TLW,ES	: 	109771.11 	134108.01 	138289.11 	125678.99 	157603.55 	154417.81 	115371.84 	143130.28 	111048.43 	104776.02 	57770.87 	101428.91 	81252.8 	105225.46 	169114.16 	137075.17 	123208 	160605 	149223.02 
F00,34,TLW,EU27_2020	: 	: c	: c	: c	259278.988 	476928.4 	379661.0853 	317699.5122 	610509.759 	529222.3 	475540.1 	387505.14 	328502.04 	394778.33 	483121.23 	574588.36 	575202.77 	574855.28 	665447.19 	500606.05 
F00,34,TLW,EU28	: 	: c	: c	: c	259284.1892 	476933.988 	379676.6978 	322420.8122 	618914.659 	551750.3 	489688.21 	423223.18 	340999.05 	403092.03 	483954.83 	574588.36 	575202.77 	574855.28 	665478.19 	500606.05 
F00,34,TLW,FR	46434.676 p	42205.719 p	40798.006 	36438.885 	42283.9 	39965.45 	38229.5 	32503.5 	33071.02 	38267.2 	27212.4 	21756.7 	19784.7 	29315 	40026.5 	48249 	56743 	56437 	57797 	70022 
F00,34,TLW,IE	0 	: 	: 	: 	: 	0 	: 	: 	263.239 	33240.9 	12175 	2003.5 	: 	: 	33064.5 	34080.4 	33438 	39588 	73695 	0 
F00,34,TLW,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
F00,34,TLW,IT	1145.4 p	1151.2 p	1382.8 	370.6 	569.2 	: 	: 	: 	2045.7 	1809.3 	2987.3 	2910.1 	4920.1 	4826 	5444 	7381.01 	8044 	6202 	7359 	4077 
F00,34,TLW,LT	: 	31477.843 	43152.59 	71563.072 	24936.011 	102128.589 	60471.83 	48631.758 	113649 	116849.6 	111017.4 	120731 	99802 	115688 	114876 	131496 	111567 	106434 	110000 	53445 
F00,34,TLW,LV	: c	: c	: c	47742.19 	14303.03 	57559.5 	52819.8 	30207.5 	89667 	87236.7 	81282.8 	68410 	62014.1 	53905 	53851 	38346 	37263 	30491 	47335 	52065 
F00,34,TLW,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
F00,34,TLW,NL	19579.257 	18693.719 	34529.2 	39247.8 	20225.7 	75432.9 	12639 	37463 	121013 	92579 	80157 	80889 	10853 	75900 	117866 	128713 	175108 	161143 	176922.01 	157195 
F00,34,TLW,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	71 
F00,34,TLW,PL	: 	: 	12486.61 	30487.562 	4495.962 	19934.927 	54152.43 	29178.114 	60172.47 	14604.2 	41020.8 	16527.7 	: 	: 	0 	0 	0 	28712 	13185 	0 
F00,34,TLW,PT	12273.59 	10518.8773 	10881.22 	10792.576 	7815.63 	15291.92 	6025.5553 	8642.7402 	11162.01 	11921 	13138.32 	14542.43 	13553.78 	14524.46 	10220.05 	11666.99 	11401.07 	11484.1 	9898.18 	9430.02 
F00,34,TLW,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
F00,34,TLW,UK	: 	: 	: 	: 	5.2012 	5.5876 	15.6125 	4721.3 	8404.9 	22528 	14148.11 	35718.04 	12497.01 	8313.7 	833.6 	0 	0 	0 	31 	0 
F00,37,TLW,BG	10268.6267 	8544.091 	8506.8 e	8562.442 	8746.6 	8564.9 	9534.543 	8153.25 	8956.31 	9681 	7391.07 	7666.08 	7832.04 	5629.82 	3408.4 	5818.01 	10211.04 	13555.01 	4880.02 	6137.02 
F00,37,TLW,CY	: 	1469.953 	1736.413 	1481.8 	1475.25 	1248.6916 	1165.6 	1297.1707 	1162.9 	1399.91 	1391 	1991.6 	2205.4 	2097.86 	1849.5 	1522 	1741 	1908 	2245 	2230 
F00,37,TLW,EL	82232.46 p	76771.92 	77348.93 	74588.32 	63706.351 	59589.56 	62733.05 	59590.06 	61757.76 	68817.69 	80048.3 	81857.26 	90344 	92414.98 	87897.5 	87930.81 	85068.75 	85907.05 	85043.4 	90766.7 
F00,37,TLW,ES	: 	87443.2 	86851.06 	81774.1 	76415.77 	78467.2 	82999 	78985.11 	103505 	100288.34 	105820.23 	105225.2 	119094.38 	130701.6 	107779.37 	94462.34 	92179.67 	118347.21 	139148.71 	140208 
F00,37,TLW,EU27_2020	: 	464198.7202 p	456003.1996 e	452786.3853 	433102.5781 	424848.3458 	424993.1532 	422629.2046 	474825.38 	481485.2 	511462.64 	491797.56 	581491.35 	601355.67 	550737.46 	517972.57 	534261.94 	545000 	592398.76 	604626.66 
F00,37,TLW,EU28	: 	464198.7202 p	456003.2 e	452786.385 	433102.5781 	424848.346 	424993.1532 	422629.2046 	474825.38 	481485.2 	511462.64 	491797.56 	581491.35 	601355.67 	550737.46 	517972.57 	534261.94 	545000 	592398.76 	604626.66 
F00,37,TLW,FR	17561.598 p	16912.125 p	14976.213 	14257.174 	12647.09 	15066.62 	16050.14 	11610.88 	15027.57 	17779.3 	19044.87 	21908.4 	37387 	32294.36 	30801.6 	39735 	48010.72 	44739.06 	43064.75 	45546.68 
F00,37,TLW,HR	64019.9247 	70068.3 	69561.05 	72865.3443 	73487.6321 	79944.5442 	75267.231 	63599.02 	70534.02 	52396.9 	55364.5 	49011 	48633.71 	37830.1 	34649.6 	30135.1 	19938 	21210.5 	18464 	21051.2 
F00,37,TLW,IT	174688.7 p	192507.4 p	185064.8 	188266.2 	188956.8 	177018.6 	172906.5 	195996.2 	210683.9 	228211.3 	239563.62 	221651.89 	273255.61 	297427.05 	279866.02 	254298.01 	273267.8 	254648.1 	294317.7 	293410.9 
F00,37,TLW,MT	2229.732 	2544.971 	2223.05 	3556.089 	2535.677 	2402.551 	2354.9428 	2203.8588 	1919.86 	1835.66 	1587.45 	1282.07 	1244.21 	1348 	1336.01 	1067.04 	1138.04 	1074.03 	895.16 	1074.11 
F00,37,TLW,PT	25.49 	52.09 	58.1 	114.82 	97.64 	99.63 	132.4155 	59.4151 	26.79 	85 	58.01 	33.01 	13.05 	53.91 	98.42 	359.07 	8.01 	29 	288 	96 
F00,37,TLW,RO	7149.373 	7745.01 	9553.18 e	7173.996 	4842.568 	2199.519 	1617.401 	810.7 	537.2 	230.9 	331.8 	443.6 	518 	615.2 	2026 	1831 	1612.01 	2122 	2431 	2476 
F00,37,TLW,SI	120.3771 	121.5 	123.6 	146.1 	191.2 	246.53 	232.33 	323.54 	714.07 	759.2 	861.79 	727.45 	963.95 	942.79 	1025.04 	814.19 	1086.9 	1460.04 	1621.02 	1630.05 
F00,37,TLW,TR	431571.7 	283954.8 	322172.5 	301463.6 	397730.7 	266077.6 	339046.9 	396322 	477658.4 	891360 	849776 	462978 	599091 	488966 	380381 	504897 	463074 	522744.01 	484413 	460531 
F00,41,TLW,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F00,41,TLW,EE	: 	: 	: 	: 	: 	: 	: 	3206.2 	2126.47 	1608.6 	: 	: 	: 	1469.3 	1355.1 	1114.5 	0 	777.2 	1941 	: 
F00,41,TLW,ES	: 	118395.87 	121846.44 	109330.06 	128308.59 	200460.18 	122948.38 	116878.81 	90307.88 	91483.94 	82698.64 	18275.02 	57018.97 	25781.8 	74411.6 	35112.25 	27186.02 	35912.3 	106702.07 	86373 
F00,41,TLW,EU27_2020	: 	125207.449 p	129210.4 	113867.651 	130880.6 	202524.47 	125490.7489 	124125.1895 	97865.22 	99227.54 	91036.89 	28017.21 	64400.2 	29028.55 	78544.9 	37854.89 	27777.09 	43297.54 	112138.38 	89721 
F00,41,TLW,EU28	: 	129804.6772 p	132615.514 	116208.691 	135162.4369 	206330.31 	125490.7489 	129719.2895 	100369.72 	102849.34 	91036.89 	32656.21 	65172.2 	30073.86 	84262.4 	39953.39 	32580.39 	48561.14 	119146.58 	95222 
F00,41,TLW,FR	234.916 p	416.229 p	1193.3 	77.281 	62.07 	187.13 	304.27 	715.4 	127.17 	970 	4134 	3934 	4864 	: 	0 	244 	: 	: 	: 	2053 
F00,41,TLW,LT	: 	: 	: 	: 	70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F00,41,TLW,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	162 	: 	: 	: 
F00,41,TLW,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	2754.7 	756 	970 
F00,41,TLW,PT	3356.38 	6395.35 	6170.66 	4460.31 	2439.94 	1877.16 	2238.0989 	3324.7795 	5303.7 	5165 	4204.25 	5808.19 	2517.23 	1777.45 	2778.2 	1384.14 	429.07 	3853.34 	2739.31 	325 
F00,41,TLW,UK	3258.1637 	4597.228 	3405.114 	2341.04 	4281.8369 	3805.8396 	: 	5594.1 	2504.5 	3621.8 	: 	4639 	772 	1045.31 	5717.5 	2098.5 	4803.3 	5263.6 	7008.2 	5501 
F00,47,TLW,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
F00,47,TLW,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
F00,47,TLW,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
F00,47,TLW,ES	: 	27695.83 	26478.65 	36377.57 	54207.68 	51527.85 	42537.47 	29339.24 	17452.92 	22099.62 	18976.75 	264699.27 	18741.59 	9541.6 	8644.3 	12428.25 	10529 	7833 	20692 	17404 
